order_id,order_date,product_category,units_sold,unit_price,discount_pct,shipping_cost,return_flag,acquisition_channel,year,assumed_cogs_pct,gross_revenue,revenue,cogs,profit
105523,2025-03-31,Apparel,2,40.98,0.102943089945367,9.3,0,Referral,2025,0.55,73.52278434807772,73.52278434807772,45.078,19.144784348077717
4628,2024-09-07,Beauty,4,31.6,0.0878833367131515,8.02,0,Referral,2024,0.5,115.29154623945766,115.29154623945766,63.2,44.07154623945766
102163,2025-09-07,Beauty,3,34.2,0.0681646524390934,11.14,0,Organic,2025,0.5,95.60630665974902,95.60630665974902,51.300000000000004,33.16630665974902
106995,2025-11-15,Home,2,85.28,0.265,13.18,0,Paid Ads,2025,0.65,125.3616,125.3616,110.864,1.3175999999999917
102872,2025-02-28,Electronics,1,206.66,0.125,11.04,0,Email,2025,0.8,180.8275,180.8275,165.328,4.459499999999984
213,2024-08-12,Apparel,2,48.93,0.092,7.96,0,Organic,2024,0.55,88.85688,88.85688,53.82300000000001,27.073879999999996
107633,2025-04-21,Home,4,74.61,0.13,10.69,0,Referral,2025,0.65,259.6428,259.6428,193.98600000000002,54.966800000000006
6604,2024-09-25,Apparel,1,43.54,0.1800188838205502,7.19,0,Referral,2024,0.55,35.70197779845324,35.70197779845324,23.947000000000003,4.564977798453239
100044,2025-02-26,Apparel,4,42.32,0.1168961237140572,10.92,1,Referral,2025,0.55,149.4918241776844,0.0,0.0,-10.92
103490,2025-06-10,Electronics,3,228.15,0.238273605506939,7.18,1,Paid Ads,2025,0.8,521.3636307107756,0.0,0.0,-7.18
1930,2024-07-04,Apparel,2,46.07,0.089491280545786,9.81,0,Organic,2024,0.55,83.89427341051127,83.89427341051127,50.67700000000001,23.407273410511266
105747,2025-04-10,Apparel,2,44.29,0.1438540607341672,10.92,0,Email,2025,0.55,75.83740730016747,75.83740730016747,48.719,16.198407300167467
6203,2024-11-29,Home,2,73.33,0.078,9.14,0,Organic,2024,0.65,135.22052,135.22052,95.32900000000001,30.751519999999985
106880,2025-12-30,Home,1,83.58,0.0484425871188854,11.004999999999999,0,Organic,2025,0.65,79.53116856860356,79.53116856860356,54.327,14.199168568603564
103864,2025-10-07,Apparel,1,47.52,0.137174029882579,12.17,0,Email,2025,0.55,41.00149009997985,41.00149009997985,26.136000000000003,2.6954900999798443
6741,2024-10-12,Beauty,1,35.69,0.255,9.99,0,Paid Ads,2024,0.5,26.589049999999997,26.589049999999997,17.845,-1.2459500000000023
2329,2024-04-13,Home,2,78.38,0.05,6.31,0,Organic,2024,0.65,148.922,148.922,101.89399999999999,40.718
105571,2025-02-02,Electronics,1,239.77,0.169535105200444,10.98,0,Email,2025,0.8,199.12056782608954,199.12056782608954,191.81600000000003,-3.6754321739104903
103479,2025-03-25,Apparel,2,47.7,0.057948427604354,9.89,0,Organic,2025,0.55,89.87172000654463,89.87172000654463,52.470000000000006,27.51172000654463
100800,2025-10-11,Home,3,86.63,0.2671778023655832,8.51,0,Paid Ads,2025,0.65,190.4531609432086,190.4531609432086,168.92849999999999,13.014660943208602
8299,2024-01-26,Home,3,81.29,0.2779243023142765,8.51,1,Paid Ads,2024,0.65,176.0926003946174,0.0,0.0,-8.51
108744,2025-03-03,Home,3,78.49,0.24100000000000002,13.79,0,Paid Ads,2025,0.65,178.72172999999998,178.72172999999998,153.0555,11.876229999999985
7889,2024-04-08,Apparel,2,43.33,0.1671292737403654,7.76,0,Email,2024,0.55,72.17657713765993,72.17657713765993,47.663000000000004,16.75357713765993
100765,2025-07-05,Electronics,3,218.7,0.2349184085253837,12.16,0,Paid Ads,2025,0.8,501.9700321664957,501.9700321664957,524.88,-35.06996783350431
